open,low,close,volume,high,datetime
0.03289800,0.03289300,0.03289900,40.10800000,0.03290100,2020-10-11 15:34:31
0.03289800,0.03289300,0.03289800,40.13400000,0.03290100,2020-10-11 15:34:35
0.03289800,0.03289300,0.03289900,40.22400000,0.03290100,2020-10-11 15:34:38
0.03289800,0.03289300,0.03289900,41.36200000,0.03290100,2020-10-11 15:34:41
0.03289800,0.03289300,0.03289800,42.89500000,0.03290100,2020-10-11 15:34:43
0.03289800,0.03289300,0.03289800,44.49500000,0.03290100,2020-10-11 15:34:46
0.03289800,0.03289300,0.03289800,47.50900000,0.03290100,2020-10-11 15:34:48
0.03289800,0.03289300,0.03289900,50.61500000,0.03290100,2020-10-11 15:34:51
0.03289800,0.03289300,0.03289800,50.63900000,0.03290100,2020-10-11 15:34:58
0.03289800,0.03289300,0.03289800,50.63900000,0.03290100,2020-10-11 15:35:01
0.03289900,0.03289900,0.03289900,1.21500000,0.03289900,2020-10-11 15:35:03
0.03289900,0.03289900,0.03290000,1.22900000,0.03290000,2020-10-11 15:35:06
0.03289900,0.03289900,0.03290000,1.92300000,0.03290000,2020-10-11 15:35:08
0.03289900,0.03289900,0.03290000,1.95000000,0.03290000,2020-10-11 15:35:12
0.03289900,0.03289900,0.03290100,1.95400000,0.03290100,2020-10-11 15:35:19
0.03289900,0.03289900,0.03290500,9.11900000,0.03290500,2020-10-11 15:35:22
0.03289900,0.03289900,0.03290100,9.12500000,0.03290500,2020-10-11 15:35:30
0.03289900,0.03289900,0.03290100,9.22000000,0.03290500,2020-10-11 15:35:33
0.03289900,0.03289600,0.03289600,9.22400000,0.03290500,2020-10-11 15:35:38
0.03289900,0.03289300,0.03289300,28.52400000,0.03290500,2020-10-11 15:35:41
0.03289900,0.03289300,0.03289300,32.43300000,0.03290500,2020-10-11 15:35:45
0.03289900,0.03289300,0.03289800,33.42900000,0.03290500,2020-10-11 15:35:49
0.03289900,0.03289300,0.03289800,36.08500000,0.03290500,2020-10-11 15:35:52
0.03289900,0.03289300,0.03289900,37.90800000,0.03290500,2020-10-11 15:35:58
0.03289900,0.03289300,0.03289900,38.21200000,0.03290500,2020-10-11 15:36:00
0.03290100,0.03290100,0.03290400,3.03800000,0.03290700,2020-10-11 15:36:03
0.03290100,0.03290100,0.03291000,3.12900000,0.03291000,2020-10-11 15:36:09
0.03290100,0.03290100,0.03291000,4.97900000,0.03291000,2020-10-11 15:36:12
0.03290100,0.03290100,0.03291200,5.01300000,0.03291200,2020-10-11 15:36:15
0.03290100,0.03290100,0.03291200,10.00900000,0.03291200,2020-10-11 15:36:18
0.03290100,0.03290100,0.03291100,10.50900000,0.03291200,2020-10-11 15:36:21
0.03290100,0.03290100,0.03291200,15.50900000,0.03291200,2020-10-11 15:36:24
0.03290100,0.03290100,0.03291000,17.50900000,0.03291200,2020-10-11 15:36:30
0.03290100,0.03290100,0.03290800,17.93400000,0.03291200,2020-10-11 15:36:32
0.03290100,0.03289400,0.03289600,49.85400000,0.03291200,2020-10-11 15:36:35
0.03290100,0.03289400,0.03289600,49.89100000,0.03291200,2020-10-11 15:36:39
0.03290100,0.03289400,0.03289500,57.85400000,0.03291200,2020-10-11 15:36:42
0.03290100,0.03289400,0.03290600,63.06400000,0.03291200,2020-10-11 15:36:45
0.03290100,0.03289400,0.03291000,69.33800000,0.03291200,2020-10-11 15:36:48
0.03290100,0.03289400,0.03291000,70.57300000,0.03291200,2020-10-11 15:36:51
0.03290100,0.03289400,0.03290900,73.06000000,0.03291200,2020-10-11 15:36:54
0.03290100,0.03289400,0.03290900,78.95900000,0.03291200,2020-10-11 15:36:56
0.03290100,0.03289400,0.03290900,78.95900000,0.03291200,2020-10-11 15:37:03
0.03290900,0.03290800,0.03290800,15.99300000,0.03290900,2020-10-11 15:37:05
0.03290900,0.03290500,0.03290500,16.12800000,0.03290900,2020-10-11 15:37:10
0.03290900,0.03290500,0.03290600,20.76300000,0.03290900,2020-10-11 15:37:13
0.03290900,0.03290500,0.03290600,22.79800000,0.03290900,2020-10-11 15:37:15
0.03290900,0.03290300,0.03290300,33.76000000,0.03290900,2020-10-11 15:37:18
0.03290900,0.03290300,0.03290400,43.49600000,0.03290900,2020-10-11 15:37:21
0.03290900,0.03290300,0.03290400,47.60400000,0.03290900,2020-10-11 15:37:23
0.03290900,0.03290300,0.03290400,47.96700000,0.03290900,2020-10-11 15:37:26
0.03290900,0.03290300,0.03290400,60.46800000,0.03290900,2020-10-11 15:37:28
0.03290900,0.03290300,0.03290400,62.46800000,0.03290900,2020-10-11 15:37:31
0.03290900,0.03290200,0.03290200,62.67300000,0.03290900,2020-10-11 15:37:33
0.03290900,0.03290200,0.03290300,81.67300000,0.03290900,2020-10-11 15:37:39
0.03290900,0.03290200,0.03290300,102.61900000,0.03290900,2020-10-11 15:37:42
0.03290900,0.03290200,0.03290600,105.78600000,0.03290900,2020-10-11 15:37:45
0.03290900,0.03290200,0.03290300,105.93600000,0.03290900,2020-10-11 15:37:48
0.03290900,0.03290200,0.03290200,106.01100000,0.03290900,2020-10-11 15:37:56
0.03290900,0.03290200,0.03290200,106.01100000,0.03290900,2020-10-11 15:38:00
0.03290500,0.03290100,0.03290100,5.22600000,0.03290500,2020-10-11 15:38:02
0.03290500,0.03290000,0.03290000,5.32200000,0.03290500,2020-10-11 15:38:06
0.03290500,0.03290000,0.03290000,5.71500000,0.03290500,2020-10-11 15:38:09
0.03290500,0.03289600,0.03289600,6.12600000,0.03290500,2020-10-11 15:38:12
0.03290500,0.03289400,0.03289400,6.92900000,0.03290500,2020-10-11 15:38:14
0.03290500,0.03289400,0.03289600,6.93500000,0.03290500,2020-10-11 15:38:17
0.03290500,0.03289400,0.03289500,6.96700000,0.03290500,2020-10-11 15:38:24
0.03290500,0.03289400,0.03289600,8.54600000,0.03290500,2020-10-11 15:38:27
0.03290500,0.03289400,0.03289500,8.68100000,0.03290500,2020-10-11 15:38:30
0.03290500,0.03289400,0.03289500,12.63700000,0.03290500,2020-10-11 15:38:33
0.03290500,0.03289400,0.03289800,12.66800000,0.03290500,2020-10-11 15:38:38
0.03290500,0.03289300,0.03289300,69.97500000,0.03290500,2020-10-11 15:38:40
0.03290500,0.03289200,0.03289200,69.98200000,0.03290500,2020-10-11 15:38:43
0.03290500,0.03288600,0.03288600,70.99000000,0.03290500,2020-10-11 15:38:46
0.03290500,0.03288400,0.03288400,74.09300000,0.03290500,2020-10-11 15:38:49
0.03290500,0.03288400,0.03288700,74.88000000,0.03290500,2020-10-11 15:38:53
0.03290500,0.03288400,0.03288700,78.06900000,0.03290500,2020-10-11 15:38:56
0.03290500,0.03288400,0.03288700,78.06900000,0.03290500,2020-10-11 15:39:02
0.03289000,0.03288700,0.03288700,2.85200000,0.03289000,2020-10-11 15:39:04
0.03289000,0.03288700,0.03288900,2.89600000,0.03289000,2020-10-11 15:39:08
0.03289000,0.03288500,0.03288500,3.09900000,0.03289000,2020-10-11 15:39:11
0.03289000,0.03288100,0.03288100,23.06500000,0.03289000,2020-10-11 15:39:14
0.03289000,0.03288100,0.03288100,25.10700000,0.03289000,2020-10-11 15:39:16
0.03289000,0.03288000,0.03288000,25.62000000,0.03289000,2020-10-11 15:39:18
0.03289000,0.03288000,0.03288000,54.71700000,0.03289000,2020-10-11 15:39:20
0.03289000,0.03288000,0.03288100,63.03600000,0.03289000,2020-10-11 15:39:23
0.03289000,0.03288000,0.03288500,65.23900000,0.03289000,2020-10-11 15:39:26
0.03289000,0.03288000,0.03288600,65.24600000,0.03289000,2020-10-11 15:39:33
0.03289000,0.03288000,0.03288600,67.10600000,0.03289000,2020-10-11 15:39:36
0.03289000,0.03288000,0.03288600,69.00300000,0.03289000,2020-10-11 15:39:39
0.03289000,0.03288000,0.03288700,79.68000000,0.03289000,2020-10-11 15:39:42
